balancing_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2013-04-10,GRND3,GRENDENE,19615,2013-02-28 20:04:01,2012-12-31,300.72,-341.558,362.813,0.1486267563016447,6510.588,6169.03,0.058812001238444295,23
2013-04-10,CCRO3,CCR SA,18821,2013-03-18 19:34:57,2012-12-31,1765.5872,7272.158,2497.436,0.1549964088545853,36265.161088,43537.319088000004,0.05736310944989622,24
2013-04-10,AMAR3,LOJAS MARISA,22055,2013-02-05 20:32:28,2012-12-31,185.449,485.493,355.416,0.1538655937324127,5726.665120000001,6212.158120000001,0.05721296739948402,25
2013-04-10,BRAP4,BRADESPAR,18724,2013-03-20 08:07:11,2012-12-31,349.548,697.052,570.436,0.1992455202699877,9416.823120000001,10113.87512,0.056401329187066335,26
2013-04-10,LREN3,LOJAS RENNER,8133,2013-02-26 19:05:40,2012-12-31,124.17,632.137,559.25,0.1904805401296447,9169.9545,9802.0915,0.057054150127041764,27
2013-04-10,MULT3,MULTIPLAN,20982,2013-03-15 00:31:25,2012-12-31,179.197214,1404.633,541.021,0.6211006340177941,10112.09878602,11516.73178602,0.04697695579372073,28
2013-04-10,CYRE3,CYRELA REALT,14460,2013-03-21 21:06:37,2012-12-31,416.659,2486.022,921.483,0.0772697026511852,7620.693109999999,10106.71511,0.09117532155311737,29
2013-04-10,MAGG3,MAGNESITA SA,20842,2013-03-15 21:02:34,2012-12-31,291.981934,258.7,249.205,0.0547987783201468,2064.31227338,2323.01227338,0.10727666093533157,30
2014-04-10,MGLU3,MAGAZ LUIZA,22470,2014-02-24 07:35:59,2013-12-31,186.494,548.686,374.966,0.2495865664868135,1333.4321,1882.1181000000001,0.19922554275419804,1
2014-04-10,JHSF3,JHSF PART,20605,2014-03-25 23:06:51,2013-12-31,432.043157,1556.252,544.314,0.3257730788308896,1754.09521742,3310.3472174199997,0.16442806879461558,2
2014-04-10,CVCB3,CVC BRASIL,23310,2014-02-05 09:13:55,2013-12-31,129.729,-44.577,265.546,0.6450415157671583,2071.7721300000003,2027.1951300000003,0.13099183007607162,3
