cutoff_date,codneg,nomres,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2013-04-10,CCRO3,CCR SA,2013-03-18 19:34:57,2012-12-31,1765587200.0,7272158000.0,2497436000.0,0.2348430437190688,36265161088.0,28993003088.0,0.08613926582285197,17.0
2013-04-10,HBOR3,HELBOR,2013-03-25 17:54:40,2012-12-31,195291000.0,643352000.0,317837000.0,0.1794135361858909,2677439610.0,2034087610.0,0.15625531488292188,18.0
2013-04-10,VLID3,VALID,2013-03-27 20:20:21,2012-12-31,55750000.0,285126000.0,166230000.0,0.2084192709149609,2004212500.0000002,1719086500.0000002,0.09669670490693748,19.0
2013-04-10,RDNI3,RODOBENSIMOB,2013-03-26 18:25:07,2012-12-31,48575000.0,258467000.0,124733000.0,0.1205075241724183,716967000.0,458500000.0,0.27204580152671753,20.0
2013-04-10,NATU3,NATURA,2013-02-06 21:47:46,2012-12-31,431239000.0,681457000.0,1369550000.0,0.6890630392935236,21303206600.0,20621749600.0,0.06641289059197965,21.0
2013-04-10,EVEN3,EVEN,2013-03-04 20:04:10,2012-12-31,233293408.0,976923000.0,326279000.0,0.1172814965837723,2318936475.52,1342013475.52,0.24312647074842095,22.0
2013-04-10,HGTX3,CIA HERING,2013-02-21 19:03:29,2012-12-31,164224000.0,-168763000.0,373130000.0,0.606481729804937,6389955839.999999,6558718839.999999,0.05689068385190911,23.0
2013-04-10,MYPK3,IOCHP-MAXION,2013-02-28 00:01:37,2012-12-31,94863000.0,2494405000.0,278510000.0,0.0776807616625038,2496794160.0,2389160.0,116.57235178891325,24.0
2013-04-10,EMBR3,EMBRAER,2013-03-12 20:48:13,2012-12-31,740465000.0,-639621000.0,1217431000.0,0.1961427845733938,13283942100.0,13923563100.0,0.08743674239534276,25.0
2013-04-10,LREN3,LOJAS RENNER,2013-02-26 19:05:40,2012-12-31,124170000.0,632137000.0,559250000.0,0.2885974961554737,9169954500.0,8537817500.0,0.06550268847981348,26.0
2013-04-10,MRVE3,MRV,2013-03-14 20:09:59,2012-12-31,482744000.0,2159972000.0,641617000.0,0.102692485289163,4663307040.0,2503335040.0,0.25630488518228867,27.0
2013-04-10,CYRE3,CYRELA REALT,2013-03-21 21:06:37,2012-12-31,416659000.0,2486022000.0,921483000.0,0.1169494403583655,7620693110.0,5134671110.0,0.17946290624249933,28.0
2013-04-10,TIMP3,TIM PART S/A,2013-02-06 02:38:39,2012-12-31,2417632647.0,-40495000.0,2321445000.0,0.1683136515647232,21009227702.43,21049722702.43,0.11028387560335938,29.0
2013-04-10,AMAR3,LOJAS MARISA,2013-02-05 20:32:28,2012-12-31,185449000.0,485493000.0,355416000.0,0.2331296874733526,5726665120.0,5241172120.0,0.06781231218180257,30.0
2014-04-10,MGLU3,MAGAZ LUIZA,2014-02-24 07:35:59,2013-12-31,186494000.0,548686000.0,374966000.0,0.3015900464651648,1333432100.0,784746100.0,0.47781823955544345,1.0
2014-04-10,PTBL3,PORTOBELLO,2014-03-25 20:46:58,2013-12-31,159009000.0,235457000.0,138713000.0,0.324616090275535,804585539.9999999,569128539.9999999,0.24372877171122015,2.0
2014-04-10,CVCB3,CVC BRASIL,2014-02-05 09:13:55,2013-12-31,129729000.0,-44577000.0,265546000.0,0.97733562995024,2071772130.0,2116349130.0,0.12547362636712026,3.0
2014-04-10,ETER3,ETERNIT,2014-03-17 10:31:17,2013-12-31,89500000.0,33724000.0,143247000.0,0.2653444548793838,748220000.0,714496000.0,0.2004867766929416,4.0
2014-04-10,JHSF3,JHSF PART,2014-03-25 23:06:51,2013-12-31,432043157.0,1556252000.0,544314000.0,0.1442640417276254,1754095217.4199998,197843217.41999984,2.751239123070264,5.0
2014-04-10,RAPT4,RANDON PART,2014-04-02 11:18:19,2013-12-31,243785000.0,1192137000.0,446422000.0,0.1574711325969287,2028291200.0,836154200.0,0.5338991300886846,6.0
2014-04-10,HBOR3,HELBOR,2014-03-18 20:37:15,2013-12-31,257700000.0,997522000.0,456041000.0,0.168225191966051,1963674000.0,966152000.0,0.47201786054368255,7.0
2014-04-10,ARTR3,ARTERIS,2014-02-26 06:58:10,2013-12-31,344444000.0,3147434000.0,947023000.0,0.1883870462086088,6337769599.999999,3190335599.999999,0.2968411849837993,8.0
2014-04-10,EZTC3,EZTEC,2014-03-19 21:13:25,2013-12-31,146724120.0,93607000.0,568504000.0,0.2579333806094444,4131751219.2,4038144219.2,0.14078348101015242,9.0
2014-04-10,HGTX3,CIA HERING,2014-02-20 18:29:17,2013-12-31,164611000.0,-116279000.0,405003000.0,0.5120275000979798,4151489420.0,4267768420.0,0.09489807321832144,10.0
2014-04-10,ECOR3,ECORODOVIAS,2014-03-18 19:16:30,2013-12-31,558699000.0,2558840000.0,959656000.0,0.2060732221584932,7570371450.0,5011531450.0,0.19148956952071008,11.0
